Transcript Length	0_min_RNA_hydrolysis_rep_1-dedup.bed	0_min_RNA_hydrolysis_rep_2-dedup.bed	10_min_30C_RNA_hydrolysis_rep_1-dedup.bed	10_min_30C_RNA_hydrolysis_rep_2-dedup.bed	10_min_37C_RNA_hydrolysis_rep_1-dedup.bed	10_min_37C_RNA_hydrolysis_rep_2-dedup.bed	1_min_30C_RNA_hydrolysis_rep_1-dedup.bed	1_min_30C_RNA_hydrolysis_rep_2-dedup.bed	20_min_ice_RNA_hydrolysis_rep_1-dedup.bed	20_min_ice_RNA_hydrolysis_rep_2-dedup.bed	3_min_30C_RNA_hydrolysis_rep_1-dedup.bed	3_min_30C_RNA_hydrolysis_rep_2-dedup.bed
495	237	240	320	273	101	112	137	338	329	300	170	146
496	168	233	267	243	111	134	120	300	252	276	144	119
497	176	274	246	217	105	117	127	258	203	242	138	121
498	309	841	389	333	198	147	157	560	593	230	218	221
499	135	172	203	170	89	139	101	235	221	184	109	107
500	119	153	161	169	112	131	96	233	213	157	123	103
501	115	135	153	156	86	132	93	191	174	145	109	106
502	97	152	164	153	97	117	73	155	160	163	99	95
503	80	136	119	144	89	127	78	140	134	123	99	97
504	75	182	123	139	110	114	77	134	162	146	71	86
505	61	188	127	142	88	113	81	154	142	139	92	87
506	60	98	117	135	89	125	79	116	135	122	76	74
507	73	109	104	138	97	134	68	127	118	102	57	66
508	69	140	101	115	109	123	54	105	106	96	96	96
509	136	516	192	226	123	153	102	272	283	137	137	118
510	82	204	144	131	90	118	91	132	168	151	93	86
511	66	71	108	118	81	127	70	119	140	99	76	73
512	66	113	87	109	98	127	70	115	119	131	83	75
513	72	84	89	119	89	142	65	129	102	120	70	70
514	67	84	119	124	78	109	54	123	126	107	78	78
515	67	111	106	120	91	101	63	112	132	109	74	75
516	62	121	107	93	101	109	66	122	125	125	71	71
517	42	88	113	111	92	126	64	107	149	117	75	64
518	57	94	103	116	96	113	70	97	130	107	59	73
519	73	119	104	111	95	116	73	121	112	108	81	92
520	89	128	116	99	87	119	62	110	146	109	72	60
521	68	130	124	117	70	103	64	133	130	137	78	76
522	45	122	107	104	108	104	64	94	108	106	70	67
523	45	117	103	111	82	102	49	105	111	112	64	77
524	49	90	99	115	98	119	70	92	125	107	69	88
525	52	121	102	119	87	140	53	100	119	112	75	55
526	48	101	96	111	82	124	63	109	150	141	73	98
527	66	69	95	93	89	106	83	86	114	118	73	66
